nombre,masa,radio,entropia,informacion,gi
Galaxia_364,250479919559.785065,1011.889424,4.419599,96.830743,3577189.436277
Galaxia_27,593019207802.213379,1430.765396,7.161259,90.263109,2437013.353927
Galaxia_359,887357840408.561035,1126.678323,9.045781,16.103782,830588.618880
Galaxia_159,265685740235.838776,1024.073689,7.509786,32.932228,741488.646198
Galaxia_16,721206978853.548950,2443.607434,5.786220,48.419467,674570.064726
Galaxia_418,714720782563.342896,1690.560114,7.499918,29.729856,661632.177632
Galaxia_410,114949392030.529465,2305.464131,1.443366,66.105575,661080.419677
Galaxia_255,683717803926.251709,3376.145943,2.746273,44.495245,648647.228792
Galaxia_23,724995411753.613647,1891.482893,8.021687,34.220658,576976.632003
Galaxia_170,526495409033.800049,3744.421602,4.178034,95.827429,574840.851354
Galaxia_100,946392916367.365479,4861.207592,8.813742,81.997284,248672.348642
Galaxia_133,77076052194.891327,1419.683092,3.422589,30.581665,228059.134993
Galaxia_207,484179368884.306091,4517.470060,6.629417,93.868456,224215.223868
Galaxia_436,824774321192.533691,3909.726212,7.425323,44.475848,215703.136207
Galaxia_310,986455271271.341675,10093.875014,3.273325,74.811925,147688.829200
Galaxia_292,837020128648.423584,9938.225543,3.660704,94.598706,146164.973692
Galaxia_385,866861226401.492310,5649.790440,4.559110,33.639299,133738.536310
Galaxia_64,599789611225.185059,5222.802401,9.118285,82.036496,132035.572309
Galaxia_252,901642643041.588257,6179.340948,7.160352,57.808037,127235.723872
Galaxia_154,645692420056.800415,5107.793565,4.970747,36.961936,122827.876385
Galaxia_29,684466877748.219238,6532.173894,8.838856,89.240138,108095.188816
Galaxia_106,288669143723.338867,4858.334021,5.216713,67.456916,105550.434714
Galaxia_394,232366397498.762939,5330.980683,6.673127,98.462588,80520.418548
Galaxia_351,959120043748.758911,11116.140408,2.680115,38.605807,74622.220693
Galaxia_491,435946454878.614136,12415.884595,2.292745,82.423433,67854.185548
Galaxia_383,850339772233.406494,11621.246562,1.340997,20.149450,63142.955297
Galaxia_273,617027923127.269165,17856.593672,1.568451,73.884850,60840.810451
Galaxia_79,949446392940.480713,11308.932519,7.127827,78.886131,54837.272140
Galaxia_65,772486917958.141724,9827.321186,8.752450,81.967614,49996.397022
Galaxia_8,571450877169.926392,6802.112415,7.817256,45.939690,48442.904666
Galaxia_114,777521296097.189453,4769.465344,8.469020,17.757586,47833.138761
Galaxia_286,559023141720.735596,7084.399020,4.871743,30.857811,47087.897283
Galaxia_143,868973178783.793579,6794.690697,6.184305,22.599647,45907.408512
Galaxia_5,969667011928.201538,28218.418213,1.184306,66.056136,45332.396548
Galaxia_108,941364863266.118652,22093.321991,2.829398,87.985270,40027.272917
Galaxia_247,776095524144.897827,12108.316927,7.183848,75.084665,36927.240173
Galaxia_294,779279368462.499756,21495.328142,2.650472,83.647379,35525.338041
Galaxia_61,451825154409.813354,26396.784760,1.223121,99.704616,35279.019863
Galaxia_222,696828044745.946411,27249.981509,1.430524,79.040110,34605.748929
Galaxia_10,618351642446.942627,11584.035962,7.367293,80.343735,33540.144891
Galaxia_26,435044597392.882202,13177.187935,2.442080,46.044200,31528.793003
Galaxia_175,648350609280.203735,16189.105237,2.646900,44.686642,27874.591870
Galaxia_340,310183704517.859924,7124.141048,9.701574,66.236966,27849.503506
Galaxia_102,256151385740.868591,14163.668938,1.436100,40.038607,23759.765070
Galaxia_117,591071990009.032715,13719.219869,9.826498,96.193882,20518.022583
Galaxia_358,877352373286.661255,33465.498122,1.308797,49.813302,19900.083110
Galaxia_354,949989200178.613525,26230.609172,2.392165,49.568438,19095.009875
Galaxia_2,606316530089.225708,13669.929292,6.854266,57.946881,18308.006388
Galaxia_206,558537668978.684448,25490.126720,3.098350,98.361055,18214.005599
Galaxia_75,31546080140.998222,4644.151758,5.082842,88.809442,17056.501542
Galaxia_165,357052494311.959412,12013.286517,9.420787,95.443716,16729.148406
Galaxia_228,607736997398.036743,8603.004597,6.248675,19.018163,16680.191225
Galaxia_287,989750368854.134399,21406.241124,1.379466,15.570721,16272.162662
Galaxia_63,929873386796.356445,15701.187541,5.935579,38.098346,16158.716011
Galaxia_313,548333373651.406555,12563.945202,3.657735,24.967091,15825.330809
Galaxia_39,291858075486.008667,13076.716940,6.187055,84.740864,15602.283949
Galaxia_162,654443074819.647217,14756.170923,8.625266,64.644972,15034.603563
Galaxia_124,673637749828.453125,23347.914230,4.629254,84.310244,15021.191409
Galaxia_459,885013353149.975342,20089.441132,8.954084,89.089018,14562.044697
Galaxia_142,231623978333.059875,7984.987223,7.379552,43.567326,14314.332569
Galaxia_157,223562477473.785492,9674.139278,7.315083,64.498166,14057.479705
Galaxia_426,540148275690.549744,32644.565948,2.134902,82.262017,13035.159269
Galaxia_427,236915245554.275513,12597.318823,6.943940,89.302969,12814.504706
Galaxia_203,96602460928.733246,8713.817477,4.438144,66.804008,12781.362776
Galaxia_188,987863172478.617310,14107.338679,8.353631,31.963091,12676.089896
Galaxia_112,548830595719.707703,23245.220531,1.382945,24.963418,12236.936493
Galaxia_35,460689143671.710632,13216.795216,6.413512,43.847763,12034.061644
Galaxia_271,469349891839.982178,19564.151890,5.424378,75.662931,11415.968676
Galaxia_263,647873894799.326416,26931.411970,2.971967,55.557235,11144.823854
Galaxia_110,292491429353.941223,27713.022623,1.915027,83.658721,11104.146914
Galaxia_440,932591425413.041382,51970.085594,1.203121,57.568119,11027.049528
Galaxia_204,696998995450.985962,18327.561083,6.267669,48.826169,10788.831314
Galaxia_219,883183682135.268188,44575.198534,1.989567,70.575365,10523.558708
Galaxia_475,990587952373.588379,70910.454869,1.047374,83.381146,10467.435273
Galaxia_264,107203806069.136551,9899.714612,6.772170,96.603669,10414.434415
Galaxia_355,264099197597.689911,10857.713600,9.703212,65.425256,10081.508509
Galaxia_127,805273446260.818359,21983.301269,6.703059,60.705193,10071.992993
Galaxia_49,833387578382.706177,18532.690552,7.504998,46.404618,10013.498429
Galaxia_82,821183989433.731445,25107.020176,4.497360,49.260501,9523.487797
Galaxia_412,801200002914.219971,59363.368759,1.458329,91.364548,9506.676063
Galaxia_390,890656720886.931641,40267.228006,3.780042,96.223328,9332.440119
Galaxia_495,659446046345.312134,20584.512962,2.260856,19.819102,9105.690752
Galaxia_283,572795367230.374512,45864.006797,1.665940,83.445548,9103.374257
Galaxia_293,177144024520.144897,10701.318760,8.040495,70.414171,9041.373291
Galaxia_393,937744831010.207275,25153.006760,8.203311,72.749545,8773.061535
Galaxia_53,777462744007.358765,32583.012294,5.047122,87.986398,8520.670239
Galaxia_493,642210053352.435059,51076.477748,1.843411,93.373545,8322.239132
Galaxia_215,692184653099.924927,46330.212192,2.490663,94.833350,8194.896812
Galaxia_382,297017408174.639343,26595.723279,3.161249,89.537847,7937.990688
Galaxia_31,483056503861.676025,21125.449668,5.505519,59.820595,7849.525645
Galaxia_62,420672155266.575317,47157.452184,1.331203,79.541093,7543.846287
Galaxia_484,749244414204.968140,20558.535794,6.480681,41.069388,7497.937600
Galaxia_402,167467698112.964691,11685.078245,7.404825,67.206146,7429.629325
Galaxia_445,938973108240.579346,36516.299725,6.010335,94.597630,7397.180152
Galaxia_408,485662374060.886780,33669.489236,3.427168,86.184536,7190.512809
Galaxia_19,925436027049.783447,49875.273180,1.977332,53.911433,6769.874158
Galaxia_177,929020616707.037842,39940.541794,2.958381,51.266071,6735.621116
Galaxia_447,218468486665.223145,12416.265190,9.189916,65.355033,6726.352365
Galaxia_201,912265281140.871338,66000.969467,1.553652,74.489149,6701.358258
Galaxia_424,707660775460.468018,58550.199928,1.754004,83.039552,6522.680579
Galaxia_60,540246752408.638123,29020.362295,3.952674,60.118272,6511.883401
Galaxia_311,452231618939.447266,48642.121119,1.494693,75.238017,6421.315632
Galaxia_132,470474951975.686646,26771.358941,3.575052,52.260914,6404.640932
Galaxia_256,482898779333.569214,8188.943861,9.571520,12.745481,6400.013598
Galaxia_113,847804369288.331665,51913.904532,3.287840,99.451660,6350.882632
Galaxia_105,837975034186.171387,43363.726967,2.946450,61.756140,6233.947333
Galaxia_77,289270797753.530334,16025.920094,8.979870,70.779830,5925.204656
Galaxia_361,408526143542.736084,37729.294772,1.452526,43.875895,5785.850800
Galaxia_425,795984962281.266113,26003.369980,8.677397,63.107656,5714.041456
Galaxia_315,360656727408.995605,59489.376522,1.129299,93.189871,5612.766339
Galaxia_144,193537054690.526398,12262.698926,3.253033,21.125244,5578.400286
Galaxia_193,985340990913.630493,39818.607957,4.617003,59.589953,5353.429430
Galaxia_363,786682621098.917236,35852.919310,5.901341,77.248386,5346.803278
Galaxia_168,463309741863.705750,27670.503447,5.432341,70.928381,5273.212010
Galaxia_257,446024384954.555054,23269.767916,4.363149,40.761132,5136.004644
Galaxia_409,405039781533.397705,17881.912058,6.472177,39.302804,5133.906468
Galaxia_336,324843833544.802551,16942.108227,8.190446,55.484250,5116.901544
Galaxia_1,600438952554.904419,59868.009905,1.188961,53.016575,4985.688756
Galaxia_74,947302508149.456055,38609.522200,6.338837,74.055205,4955.082280
Galaxia_261,804973648465.819336,75706.271325,1.378340,72.618894,4938.713047
Galaxia_489,839497338034.766357,15942.478472,6.849088,15.182615,4886.822559
Galaxia_194,134544780882.992798,23612.270248,2.987887,90.451810,4875.831135
Galaxia_366,853526873803.783691,61740.283583,2.175623,70.375306,4834.151609
Galaxia_308,785191065179.602173,27898.716219,8.061479,57.839959,4830.869750
Galaxia_88,703626495233.443970,60915.260148,2.562267,97.119883,4797.088421
Galaxia_458,101258675097.914215,24598.834936,2.217452,94.868257,4778.303178
Galaxia_322,948703878553.863770,60914.321348,1.324347,36.785173,4739.856740
Galaxia_36,354860330430.145447,18645.624658,1.854586,12.875727,4729.679851
Galaxia_155,841051250770.238403,39670.252216,5.935263,78.507207,4718.099653
Galaxia_465,839967673585.790894,58172.585453,3.331264,94.793951,4714.133279
Galaxia_107,330336417515.943970,42571.090442,1.508769,57.714841,4653.657851
Galaxia_84,569932277989.144409,31980.801829,1.949704,24.365766,4647.927556
Galaxia_78,283604831382.936890,18793.896988,2.264695,19.525475,4620.358821
Galaxia_183,728207164069.364380,56550.414754,2.644688,79.791029,4585.291972
Galaxia_152,646897353596.288940,21426.976096,8.131266,39.482306,4566.286481
Galaxia_115,710344316058.355347,45210.420104,3.356311,64.783803,4477.138700
Galaxia_174,832424316373.480713,37087.257507,3.356103,36.103297,4345.215636
Galaxia_214,500788514213.686340,57088.928973,1.498939,63.294902,4330.500526
Galaxia_25,533195074817.342896,42789.708648,3.752382,83.200240,4309.526906
Galaxia_312,966902554348.660522,27764.998826,3.797231,19.498685,4298.632464
Galaxia_272,538531224451.965332,29599.533479,2.459325,25.342082,4227.381835
Galaxia_216,865792817549.862793,16565.457197,9.830599,19.326343,4139.826194
Galaxia_68,289411124798.728210,22074.064971,7.622956,78.363748,4075.186816
Galaxia_59,982324348875.895874,41644.139832,1.283734,13.670480,4025.853982
Galaxia_337,930700555004.534058,55019.927885,4.292794,81.757083,3908.048505
Galaxia_99,501379478184.877808,37612.328874,5.228559,86.026367,3891.890055
Galaxia_326,833331919671.687988,27585.663623,8.251320,43.337606,3838.820721
Galaxia_91,703626428637.100586,40739.522841,5.901434,79.750343,3823.756738
Galaxia_202,987233043420.881348,44087.099950,2.714134,29.977788,3744.286762
Galaxia_266,704260987625.594482,45289.581544,3.204641,51.340061,3671.286997
Galaxia_180,629802280925.576782,54767.786485,2.243365,58.573326,3658.959470
Galaxia_104,923623289916.059082,67967.712759,1.886431,50.979694,3606.195059
Galaxia_130,725381656177.518188,41386.764902,4.176491,52.962187,3584.285555
Galaxia_439,841497809468.043701,34360.097803,7.666203,57.557110,3571.642915
Galaxia_456,432515543462.020691,11153.505226,6.819865,10.024927,3411.061414
Galaxia_111,94343950783.375854,9966.924674,9.861280,51.550932,3313.601078
Galaxia_386,984611872640.034180,39900.449394,6.458054,51.763149,3308.518522
Galaxia_460,551436312998.524902,38075.897529,7.235044,93.592279,3283.968744
Galaxia_469,757566272791.902710,40428.066161,7.726750,82.013637,3283.590896
Galaxia_81,928267248984.388062,37805.638087,8.413345,62.528556,3221.623729
Galaxia_101,382074443505.299072,45774.658085,2.853185,73.682488,3142.941743
Galaxia_187,732666448586.281372,50377.135445,4.194542,67.920420,3120.037759
Galaxia_295,728507068411.816650,31749.075193,5.312141,33.880291,3076.479469
Galaxia_233,822785918376.711426,46098.568597,8.309364,98.773344,3071.773246
Galaxia_122,564084946172.639771,35108.793103,7.914159,79.592648,3071.751510
Galaxia_161,905334145363.024048,84729.975540,2.201938,80.321884,3070.204645
Galaxia_365,209302294315.928558,28681.993660,3.735173,66.834866,3038.451117
Galaxia_483,928154187024.873535,56993.689129,5.330790,83.793743,2997.723234
Galaxia_176,206280847143.354431,45948.149276,1.415572,64.901917,2989.861244
Galaxia_147,650928119637.623901,46610.485468,5.045746,74.024833,2933.747264
Galaxia_189,950281655033.048828,91400.756039,1.324275,50.351128,2886.598185
Galaxia_423,220040165273.431671,21074.944957,9.003248,78.500542,2883.020722
Galaxia_284,475287337165.561340,14556.494063,7.860777,14.771227,2813.189247
Galaxia_93,265669220823.862305,41974.671833,1.249590,34.459871,2775.331849
Galaxia_379,633073707045.877319,39596.403679,7.477396,76.971044,2774.118046
Galaxia_356,773481073463.183838,40526.554279,1.359117,11.653006,2694.969789
Galaxia_378,615084138100.504883,58332.485833,4.291911,95.390240,2681.461195
Galaxia_116,276512636529.442261,25526.488109,9.507616,89.998539,2681.031597
Galaxia_389,37990495313.466965,7585.451628,5.464560,32.909661,2653.904031
Galaxia_498,754293399218.730347,45181.479931,6.584180,69.514558,2603.745623
Galaxia_7,402010443585.882507,29544.224948,3.845921,32.239999,2576.863094
Galaxia_11,994101032773.854614,57203.716644,6.034218,76.390184,2566.868275
Galaxia_208,736352461801.127075,54159.909620,1.458223,22.175424,2547.890259
Galaxia_404,212380935487.876038,49731.102582,1.138536,49.846976,2509.304628
Galaxia_441,794874484497.810547,33851.092033,9.677208,51.752705,2475.947605
Galaxia_42,328103328868.511597,24666.531156,9.816308,67.458723,2473.373435
Galaxia_267,748489280816.431396,75205.240918,2.801219,77.211237,2434.596431
Galaxia_120,742954045527.892090,53243.622689,2.965411,41.251162,2433.225628
Galaxia_291,952956320658.804321,39692.240203,7.700941,45.906186,2406.547020
Galaxia_217,854905279139.978271,45776.883170,8.628616,76.078433,2400.773444
Galaxia_89,835976434508.237671,54589.276214,6.689490,83.984446,2350.662603
Galaxia_474,603962237521.948608,94954.414557,1.405829,73.119040,2325.306208
Galaxia_307,180476490826.055450,62677.607839,1.097393,82.488859,2304.785880
Galaxia_451,528061241002.707642,48013.520615,5.594169,83.947588,2294.218554
Galaxia_362,747137090618.309937,99894.983067,1.401477,63.089335,2249.497543
Galaxia_197,147300684657.164429,49110.888617,1.241524,68.018769,2233.187690
Galaxia_14,718409232880.321045,66746.158075,4.450002,90.856685,2197.458875
Galaxia_237,432658646015.283875,49811.749417,3.783257,71.156134,2188.934819
Galaxia_72,727324414030.781372,89484.974907,2.606224,93.761107,2180.936465
Galaxia_243,495595997020.452148,42067.685241,7.479284,86.637473,2165.117270
Galaxia_477,203067437761.912323,23286.387581,6.992033,60.536216,2163.978518
Galaxia_350,542291294472.865417,64290.308074,3.925827,96.839012,2160.058160
Galaxia_51,782906963125.495361,47993.900606,5.671150,53.963109,2158.583498
Galaxia_396,612603589123.745728,37200.268465,9.902433,72.026287,2149.026571
Galaxia_296,441055812859.576477,33858.770067,5.038718,42.034637,2142.117732
Galaxia_490,802385635270.118896,68586.632518,3.780865,70.647189,2127.220317
Galaxia_405,464086358453.877441,29537.840722,8.575745,51.230114,2120.801390
Galaxia_487,647396713147.473511,33820.144589,8.730765,48.333123,2091.304798
Galaxia_43,543236894641.657898,30054.758560,7.282924,36.958915,2036.954427
Galaxia_15,606680221815.436768,50801.659203,6.842988,88.812758,2036.285656
Galaxia_156,452556570750.386230,31442.412313,5.872912,39.009800,2029.393851
Galaxia_471,292387545002.863892,37016.839067,5.145694,73.195188,2025.833066
Galaxia_432,998826757817.428955,90807.176470,2.391263,59.477063,2010.832709
Galaxia_57,764254297485.537720,58746.140961,4.355724,59.108168,2005.723411
